Unix Timestamp,Average eye position (pixels),Average pupil dilation
1722787030.474502,"(0.0, 1050.0)",2.4348297119140625
1722787031.5722325,"(1680.0, 1050.0)",2.1522369384765625
1722787035.2138312,"(84.0, 1050.0)",2.5522918701171875
1722787035.2300234,"(269.0, 1050.0)",2.3128204345703125
1722787035.262624,"(545.0, 929.0)",2.5552825927734375
1722787035.3129973,"(537.0, 903.0)",2.556610107421875
1722787035.3632112,"(560.0, 894.0)",2.6528244018554688
1722787035.4135625,"(541.0, 893.0)",2.5638656616210938
1722787035.4632106,"(560.0, 894.0)",2.581390380859375
1722787035.5122998,"(579.0, 864.0)",2.5569305419921875
1722787035.5284681,"(606.0, 894.0)",2.5345306396484375
1722787035.5465374,"(463.0, 992.0)",2.4088287353515625
1722787035.5632784,"(433.0, 983.0)",2.3067550659179688
1722787035.5803587,"(429.0, 989.0)",2.2670364379882812
1722787035.5974643,"(429.0, 988.0)",2.2919464111328125
1722787035.6128407,"(420.0, 982.0)",2.2653579711914062
1722787035.6304586,"(413.0, 989.0)",2.3007049560546875
1722787035.646901,"(420.0, 981.0)",2.318145751953125
1722787035.6636353,"(418.0, 982.0)",2.3131484985351562
1722787035.6805236,"(360.0, 1017.0)",2.3224868774414062
1722787035.6970525,"(316.0, 1026.0)",2.3533477783203125
1722787035.7136993,"(319.0, 1024.0)",2.3499832153320312
1722787035.7297957,"(318.0, 1027.0)",2.351593017578125
1722787035.7467825,"(319.0, 1025.0)",2.3559188842773438
1722787035.7634761,"(311.0, 1024.0)",2.3507614135742188
1722787035.7799842,"(319.0, 1025.0)",2.3543243408203125
1722787035.7961464,"(320.0, 1027.0)",2.3792724609375
1722787035.812809,"(316.0, 1021.0)",2.3837356567382812
1722787035.8305454,"(317.0, 1024.0)",2.4043807983398438
1722787035.846108,"(315.0, 1026.0)",2.395599365234375
1722787035.8637223,"(315.0, 1023.0)",2.3923263549804688
1722787035.8801408,"(377.0, 875.0)",2.4582443237304688
1722787035.8967507,"(434.0, 664.0)",2.455902099609375
1722787035.913446,"(480.0, 483.0)",2.46356201171875
1722787035.93042,"(514.0, 422.0)",2.46942138671875
1722787035.9463603,"(507.0, 416.0)",2.4906997680664062
1722787035.9628956,"(509.0, 412.0)",2.48126220703125
1722787035.9800184,"(507.0, 423.0)",2.4764862060546875
1722787035.9966035,"(508.0, 416.0)",2.4835739135742188
1722787036.012704,"(512.0, 415.0)",2.4854278564453125
1722787036.029801,"(511.0, 420.0)",2.486236572265625
1722787036.046224,"(512.0, 412.0)",2.4797439575195312
1722787036.0630903,"(512.0, 413.0)",2.4846878051757812
1722787036.0796883,"(508.0, 416.0)",2.4831008911132812
1722787036.0964298,"(509.0, 419.0)",2.4798583984375
1722787036.112715,"(511.0, 419.0)",2.4861679077148438
1722787036.129778,"(511.0, 421.0)",2.4830474853515625
1722787036.1459134,"(513.0, 424.0)",2.4714813232421875
1722787036.1630125,"(468.0, 385.0)",2.4897537231445312
1722787036.1797109,"(376.0, 304.0)",2.48553466796875
1722787036.1962745,"(347.0, 308.0)",2.476593017578125
1722787036.212999,"(352.0, 305.0)",2.4780731201171875
1722787036.2291896,"(347.0, 301.0)",2.4743881225585938
1722787036.2463624,"(343.0, 306.0)",2.4675216674804688
1722787036.2625167,"(343.0, 307.0)",2.472503662109375
1722787036.2790456,"(342.0, 307.0)",2.4688644409179688
1722787036.2956257,"(345.0, 302.0)",2.4790115356445312
1722787036.3126886,"(344.0, 298.0)",2.4843215942382812
1722787036.3296754,"(343.0, 303.0)",2.4966888427734375
1722787036.344758,"(341.0, 302.0)",2.4998397827148438
1722787036.3621447,"(340.0, 300.0)",2.5039215087890625
1722787036.3786497,"(340.0, 298.0)",2.5125503540039062
1722787036.3958404,"(341.0, 294.0)",2.5072174072265625
1722787036.4117818,"(337.0, 292.0)",2.5141830444335938
1722787036.4288304,"(338.0, 295.0)",2.533935546875
1722787036.4451916,"(335.0, 288.0)",2.5374832153320312
1722787036.4615562,"(338.0, 284.0)",2.5330276489257812
1722787036.4784026,"(331.0, 284.0)",2.5410003662109375
1722787036.4951267,"(332.0, 287.0)",2.5421142578125
1722787036.5118234,"(319.0, 282.0)",2.5557174682617188
1722787036.5284152,"(271.0, 265.0)",2.5490875244140625
1722787036.5454037,"(276.0, 271.0)",2.5545120239257812
1722787036.5614264,"(270.0, 271.0)",2.55426025390625
1722787036.5779715,"(268.0, 267.0)",2.563507080078125
1722787036.5956545,"(270.0, 272.0)",2.56072998046875
1722787036.6118724,"(270.0, 270.0)",2.5583877563476562
1722787036.62797,"(270.0, 265.0)",2.5611114501953125
1722787036.6448836,"(271.0, 268.0)",2.5637130737304688
1722787036.661449,"(267.0, 268.0)",2.5580825805664062
1722787036.6782677,"(268.0, 264.0)",2.5639724731445312
1722787036.6948206,"(266.0, 263.0)",2.5691375732421875
1722787036.711595,"(266.0, 261.0)",2.5678634643554688
1722787036.7283075,"(262.0, 261.0)",2.575408935546875
1722787036.7445638,"(265.0, 260.0)",2.5710296630859375
1722787036.7608907,"(264.0, 258.0)",2.564666748046875
1722787036.7780042,"(265.0, 258.0)",2.5674057006835938
1722787036.7948682,"(265.0, 262.0)",2.5712051391601562
1722787036.8112762,"(261.0, 258.0)",2.5669937133789062
1722787036.8277957,"(259.0, 258.0)",2.57159423828125
1722787036.8451931,"(259.0, 259.0)",2.5675125122070312
1722787036.8614173,"(259.0, 262.0)",2.5606842041015625
1722787036.8780048,"(261.0, 259.0)",2.564300537109375
1722787036.8952053,"(259.0, 256.0)",2.5683364868164062
1722787036.9115694,"(261.0, 255.0)",2.5620880126953125
1722787036.9280949,"(258.0, 259.0)",2.5611801147460938
1722787036.9441903,"(262.0, 260.0)",2.56610107421875
1722787036.9607587,"(262.0, 258.0)",2.5588150024414062
1722787036.9772146,"(260.0, 263.0)",2.57281494140625
1722787036.9942942,"(259.0, 268.0)",2.568939208984375
1722787037.0113673,"(263.0, 264.0)",2.5608367919921875
1722787037.0278795,"(262.0, 260.0)",2.5692977905273438
1722787037.0442219,"(261.0, 260.0)",2.5634231567382812
1722787037.0610242,"(260.0, 261.0)",2.5511016845703125
1722787037.0772355,"(265.0, 264.0)",2.5609283447265625
1722787037.0940912,"(263.0, 266.0)",2.5563583374023438
1722787037.1109955,"(263.0, 266.0)",2.548309326171875
1722787037.1275184,"(265.0, 268.0)",2.546234130859375
1722787037.1440983,"(264.0, 265.0)",2.5485076904296875
1722787037.1607885,"(260.0, 265.0)",2.5457611083984375
1722787037.1780126,"(261.0, 267.0)",2.5550155639648438
1722787037.1964815,"(266.0, 269.0)",2.55029296875
1722787037.2149358,"(266.0, 269.0)",2.5481033325195312
1722787037.2322729,"(263.0, 271.0)",2.55224609375
1722787037.2448354,"(263.0, 269.0)",2.5455780029296875
1722787037.2609122,"(264.0, 267.0)",2.5432281494140625
1722787037.2776906,"(264.0, 268.0)",2.5525970458984375
1722787037.29372,"(267.0, 267.0)",2.5518112182617188
1722787037.3107584,"(268.0, 271.0)",2.5559234619140625
1722787037.3272862,"(263.0, 271.0)",2.5559463500976562
1722787037.3441255,"(263.0, 268.0)",2.5573348999023438
1722787037.3603172,"(265.0, 270.0)",2.5590667724609375
1722787037.376854,"(262.0, 270.0)",2.5644760131835938
1722787037.3934388,"(263.0, 265.0)",2.5637588500976562
1722787037.409966,"(266.0, 266.0)",2.5563507080078125
1722787037.4275382,"(264.0, 271.0)",2.5706253051757812
1722787037.4444063,"(265.0, 266.0)",2.5730056762695312
1722787037.4599602,"(264.0, 262.0)",2.5829620361328125
1722787037.476665,"(263.0, 262.0)",2.5843276977539062
1722787037.493452,"(264.0, 268.0)",2.5781021118164062
1722787037.5099642,"(263.0, 274.0)",2.57568359375
1722787037.5266328,"(265.0, 268.0)",2.5796585083007812
1722787037.54369,"(265.0, 265.0)",2.581146240234375
1722787037.5598798,"(268.0, 273.0)",2.5788650512695312
1722787037.5769842,"(265.0, 268.0)",2.58233642578125
1722787037.593699,"(266.0, 265.0)",2.5824661254882812
1722787037.6098692,"(263.0, 270.0)",2.5838088989257812
1722787037.6263645,"(265.0, 266.0)",2.5870437622070312
1722787037.643359,"(262.0, 262.0)",2.5880966186523438
1722787037.659554,"(266.0, 261.0)",2.586669921875
1722787037.6767402,"(265.0, 260.0)",2.5909805297851562
1722787037.6933296,"(263.0, 263.0)",2.5966949462890625
1722787037.7102628,"(263.0, 266.0)",2.5924301147460938
1722787037.7268262,"(265.0, 266.0)",2.5947799682617188
1722787037.7432094,"(264.0, 259.0)",2.5866241455078125
1722787037.7595258,"(262.0, 265.0)",2.5838699340820312
1722787037.7769368,"(263.0, 263.0)",2.5923309326171875
1722787037.7928529,"(264.0, 267.0)",2.5919265747070312
1722787037.8098993,"(265.0, 272.0)",2.5931854248046875
1722787037.8266158,"(263.0, 270.0)",2.6005706787109375
1722787037.8427677,"(264.0, 267.0)",2.5959091186523438
1722787037.8597841,"(266.0, 271.0)",2.5959548950195312
1722787037.8769486,"(264.0, 270.0)",2.6078948974609375
1722787037.892704,"(268.0, 268.0)",2.6153182983398438
1722787037.9098275,"(265.0, 267.0)",2.6140213012695312
1722787037.9266331,"(263.0, 267.0)",2.6160736083984375
1722787037.9426901,"(266.0, 267.0)",2.6187973022460938
1722787037.9597151,"(269.0, 269.0)",2.6311416625976562
1722787037.9765863,"(263.0, 271.0)",2.6304779052734375
1722787037.9931161,"(265.0, 271.0)",2.6322021484375
1722787038.00965,"(265.0, 268.0)",2.6418991088867188
1722787038.02656,"(267.0, 265.0)",2.6489334106445312
1722787038.043149,"(263.0, 268.0)",2.65374755859375
1722787038.0597863,"(263.0, 269.0)",2.6584548950195312
1722787038.075889,"(268.0, 268.0)",2.6657180786132812
1722787038.0929132,"(269.0, 265.0)",2.6710433959960938
1722787038.1095388,"(267.0, 264.0)",2.6787261962890625
1722787038.1260674,"(267.0, 264.0)",2.6820220947265625
1722787038.1427002,"(265.0, 267.0)",2.6871490478515625
1722787038.1597526,"(268.0, 264.0)",2.6937408447265625
1722787038.1759708,"(266.0, 268.0)",2.7028045654296875
1722787038.193144,"(266.0, 264.0)",2.703857421875
1722787038.2087002,"(267.0, 264.0)",2.7036285400390625
1722787038.2261772,"(267.0, 266.0)",2.7045669555664062
1722787038.2426908,"(269.0, 261.0)",2.7090377807617188
1722787038.2588358,"(265.0, 262.0)",2.7071685791015625
1722787038.2760496,"(265.0, 263.0)",2.7134475708007812
1722787038.292949,"(269.0, 267.0)",2.69708251953125
1722787038.308547,"(270.0, 266.0)",2.6984100341796875
1722787038.325374,"(268.0, 266.0)",2.701904296875
1722787038.3428633,"(268.0, 263.0)",2.703125
1722787038.3595264,"(269.0, 264.0)",2.7017669677734375
1722787038.3749263,"(271.0, 260.0)",2.698028564453125
1722787038.3929605,"(268.0, 262.0)",2.7109451293945312
1722787038.40848,"(267.0, 263.0)",2.7088241577148438
1722787038.42531,"(271.0, 263.0)",2.7103042602539062
1722787038.4423575,"(270.0, 263.0)",2.711669921875
1722787038.4586065,"(271.0, 265.0)",2.7176971435546875
1722787038.4755082,"(271.0, 271.0)",2.7217254638671875
1722787038.49206,"(269.0, 266.0)",2.7221755981445312
1722787038.5085814,"(268.0, 265.0)",2.7223129272460938
1722787038.5251992,"(271.0, 265.0)",2.733917236328125
1722787038.5424006,"(271.0, 265.0)",2.74462890625
1722787038.5586243,"(270.0, 268.0)",2.747772216796875
1722787038.5756328,"(269.0, 273.0)",2.7429351806640625
1722787038.591899,"(273.0, 273.0)",2.7537612915039062
1722787038.6088557,"(275.0, 272.0)",2.7608718872070312
1722787038.625277,"(274.0, 269.0)",2.772064208984375
1722787038.642304,"(273.0, 268.0)",2.7765045166015625
1722787038.657825,"(273.0, 265.0)",2.7812652587890625
1722787038.674747,"(273.0, 268.0)",2.785369873046875
1722787038.6913822,"(274.0, 266.0)",2.7931289672851562
1722787038.7079353,"(276.0, 265.0)",2.7962646484375
1722787038.725011,"(276.0, 264.0)",2.8070526123046875
1722787038.741502,"(275.0, 268.0)",2.8085708618164062
1722787038.7580223,"(272.0, 270.0)",2.8193206787109375
1722787038.7746913,"(272.0, 270.0)",2.81903076171875
1722787038.7916467,"(273.0, 272.0)",2.8259735107421875
1722787038.8079324,"(276.0, 273.0)",2.8335418701171875
1722787038.8252196,"(272.0, 272.0)",2.83135986328125
1722787038.841965,"(274.0, 271.0)",2.8345413208007812
1722787038.8585196,"(273.0, 270.0)",2.8367385864257812
1722787038.874101,"(274.0, 274.0)",2.842559814453125
1722787038.8911903,"(277.0, 270.0)",2.8384857177734375
1722787038.9080656,"(277.0, 272.0)",2.8388137817382812
1722787038.9241197,"(276.0, 275.0)",2.8470382690429688
1722787038.94113,"(279.0, 275.0)",2.8433151245117188
1722787038.9579053,"(278.0, 274.0)",2.8391876220703125
1722787038.9745786,"(273.0, 271.0)",2.8421478271484375
1722787038.9910355,"(273.0, 271.0)",2.849212646484375
1722787039.0076907,"(274.0, 273.0)",2.8491973876953125
