HR,SDNN,Timestamp
67,0.0,2020-01-01 00:00:00
67,0.0,2020-01-01 00:00:01
68,6.21,2020-01-01 00:00:02
68,6.58,2020-01-01 00:00:03
72,23.01,2020-01-01 00:00:04
72,26.76,2020-01-01 00:00:05
74,32.38,2020-01-01 00:00:06
75,36.56,2020-01-01 00:00:07
75,38.44,2020-01-01 00:00:08
76,40.49,2020-01-01 00:00:09
76,41.48,2020-01-01 00:00:10
76,41.87,2020-01-01 00:00:11
76,41.9,2020-01-01 00:00:12
75,41.12,2020-01-01 00:00:13
75,40.33,2020-01-01 00:00:14
75,39.56,2020-01-01 00:00:15
75,38.8,2020-01-01 00:00:16
75,38.08,2020-01-01 00:00:17
75,37.38,2020-01-01 00:00:18
74,36.49,2020-01-01 00:00:19
74,35.67,2020-01-01 00:00:20
73,34.85,2020-01-01 00:00:21
71,34.47,2020-01-01 00:00:22
69,35.12,2020-01-01 00:00:23
67,37.24,2020-01-01 00:00:24
65,41.03,2020-01-01 00:00:25
64,45.13,2020-01-01 00:00:26
63,49.5,2020-01-01 00:00:27
62,54.12,2020-01-01 00:00:28
62,57.78,2020-01-01 00:00:29
61,61.79,2020-01-01 00:00:30
61,65.05,2020-01-01 00:00:31
61,67.75,2020-01-01 00:00:32
62,69.23,2020-01-01 00:00:33
62,70.47,2020-01-01 00:00:34
63,70.94,2020-01-01 00:00:35
64,70.89,2020-01-01 00:00:36
65,70.48,2020-01-01 00:00:37
67,69.68,2020-01-01 00:00:38
69,68.8,2020-01-01 00:00:39
69,67.96,2020-01-01 00:00:40
70,67.18,2020-01-01 00:00:41
70,66.43,2020-01-01 00:00:42
72,65.9,2020-01-01 00:00:43
72,65.39,2020-01-01 00:00:44
72,64.89,2020-01-01 00:00:45
73,64.54,2020-01-01 00:00:46
73,64.19,2020-01-01 00:00:47
73,63.84,2020-01-01 00:00:48
73,63.49,2020-01-01 00:00:49
73,63.15,2020-01-01 00:00:50
74,62.96,2020-01-01 00:00:51
74,62.76,2020-01-01 00:00:52
74,62.55,2020-01-01 00:00:53
74,62.34,2020-01-01 00:00:54
74,62.12,2020-01-01 00:00:55
76,62.25,2020-01-01 00:00:56
78,62.78,2020-01-01 00:00:57
80,63.74,2020-01-01 00:00:58
79,64.36,2020-01-01 00:00:59
79,64.93,2020-01-01 00:01:00
80,65.65,2020-01-01 00:01:01
80,66.31,2020-01-01 00:01:02
79,66.7,2020-01-01 00:01:03
79,67.05,2020-01-01 00:01:04
79,67.37,2020-01-01 00:01:05
79,67.65,2020-01-01 00:01:06
78,67.73,2020-01-01 00:01:07
78,67.79,2020-01-01 00:01:08
78,67.84,2020-01-01 00:01:09
78,67.87,2020-01-01 00:01:10
78,67.88,2020-01-01 00:01:11
78,67.89,2020-01-01 00:01:12
78,67.88,2020-01-01 00:01:13
78,67.85,2020-01-01 00:01:14
78,67.82,2020-01-01 00:01:15
78,67.78,2020-01-01 00:01:16
78,67.73,2020-01-01 00:01:17
77,67.56,2020-01-01 00:01:18
77,67.39,2020-01-01 00:01:19
75,67.06,2020-01-01 00:01:20
72,66.65,2020-01-01 00:01:21
69,66.38,2020-01-01 00:01:22
67,66.36,2020-01-01 00:01:23
66,66.49,2020-01-01 00:01:24
66,66.6,2020-01-01 00:01:25
67,66.54,2020-01-01 00:01:26
68,66.36,2020-01-01 00:01:27
68,66.17,2020-01-01 00:01:28
68,65.98,2020-01-01 00:01:29
69,65.71,2020-01-01 00:01:30
70,65.39,2020-01-01 00:01:31
70,65.07,2020-01-01 00:01:32
71,64.73,2020-01-01 00:01:33
71,64.39,2020-01-01 00:01:34
71,64.06,2020-01-01 00:01:35
71,63.74,2020-01-01 00:01:36
71,63.42,2020-01-01 00:01:37
72,63.1,2020-01-01 00:01:38
72,62.78,2020-01-01 00:01:39
72,62.47,2020-01-01 00:01:40
72,62.17,2020-01-01 00:01:41
68,62.02,2020-01-01 00:01:42
68,61.88,2020-01-01 00:01:43
69,61.66,2020-01-01 00:01:44
68,61.51,2020-01-01 00:01:45
69,61.3,2020-01-01 00:01:46
69,61.08,2020-01-01 00:01:47
68,60.94,2020-01-01 00:01:48
68,60.8,2020-01-01 00:01:49
67,60.75,2020-01-01 00:01:50
68,60.6,2020-01-01 00:01:51
68,60.46,2020-01-01 00:01:52
69,60.25,2020-01-01 00:01:53
70,60.01,2020-01-01 00:01:54
79,60.23,2020-01-01 00:01:55
