Timestamp, HR(bpm), HRV(ms), Resp(brpm)
1723036194.0, 92, NaN, NaN
1723036195.0, 92, NaN, NaN
1723036199.0, 95, NaN, NaN
1723036212.0, 92, NaN, NaN
1723036224.0, 95, NaN, NaN
1723036232.0, 98, NaN, NaN
1723036241.0, 90, NaN, NaN
1723036242.0, 87, NaN, NaN
1723036257.0, 84, NaN, NaN
1723036263.0, 81, NaN, NaN
1723036278.0, 84, NaN, NaN
1723036280.0, 89, NaN, NaN
1723036281.0, 89, NaN, NaN
1723036316.0, 92, NaN, NaN
1723036346.0, 95, NaN, NaN
1723036350.0, 92, NaN, NaN
1723036369.0, 95, NaN, NaN
1723036370.0, 98, NaN, NaN
1723036371.0, 101, NaN, NaN
1723036379.0, 96, NaN, NaN
1723036381.0, 93, NaN, NaN
1723036383.0, 90, NaN, NaN
1723036388.0, 87, NaN, NaN
1723036396.0, 84, NaN, NaN
1723036404.0, 88, NaN, NaN
1723036407.0, 91, NaN, NaN
1723036414.0, 87, NaN, NaN
1723036415.0, 84, NaN, NaN
1723036424.0, 81, NaN, NaN
1723036461.0, 84, NaN, NaN
1723036503.0, 88, NaN, NaN
1723036506.0, 91, NaN, NaN
1723036526.0, 88, NaN, NaN
1723036532.0, 87, NaN, NaN
1723036577.0, 84, NaN, NaN
1723036579.0, 81, NaN, NaN
1723036583.0, 84, NaN, NaN
1723036595.0, 89, NaN, NaN
1723036603.0, 85, NaN, NaN
1723036605.0, 82, NaN, NaN
1723036616.0, 85, NaN, NaN
1723036656.0, 88, NaN, NaN
1723036682.0, 91, NaN, NaN
1723036684.0, 94, NaN, NaN
1723036685.0, 97, NaN, NaN
1723036688.0, 100, NaN, NaN
1723036692.0, 97, NaN, NaN
1723036694.0, 93, NaN, NaN
1723036701.0, 90, NaN, NaN
1723036759.0, 86, NaN, NaN
1723036776.0, 87, NaN, NaN
1723036798.0, 84, NaN, NaN
1723036804.0, 81, NaN, NaN
1723036834.0, 84, NaN, NaN
1723036839.0, 81, NaN, NaN
1723036857.0, 84, NaN, NaN
1723036861.0, 79, NaN, NaN
1723036863.0, 76, NaN, NaN
1723036866.0, 79, NaN, NaN
1723036869.0, 82, NaN, NaN
1723036877.0, 85, NaN, NaN
1723036906.0, 88, NaN, NaN
1723036944.0, 91, NaN, NaN
1723036949.0, 87, NaN, NaN
1723036951.0, 84, NaN, NaN
1723036957.0, 81, NaN, NaN
1723036974.0, 84, NaN, NaN
1723036982.0, 81, NaN, NaN
1723037033.0, 84, NaN, NaN
1723037093.0, 80, NaN, NaN
1723037127.0, 83, NaN, NaN
1723037131.0, 86, NaN, NaN
1723037138.0, 89, NaN, NaN
1723037161.0, 86, NaN, NaN
1723037181.0, 83, NaN, NaN
1723037201.0, 86, NaN, NaN
1723037238.0, 90, NaN, NaN
1723037240.0, 93, NaN, NaN
1723037250.0, 90, NaN, NaN
1723037252.0, 86, NaN, NaN
1723037271.0, 83, NaN, NaN
1723037273.0, 79, NaN, NaN
1723037278.0, 82, NaN, NaN
1723037280.0, 90, NaN, NaN
1723037282.0, 93, NaN, NaN
1723037295.0, 90, NaN, NaN
1723037296.0, 87, NaN, NaN
1723037297.0, 87, NaN, NaN
1723037304.0, 82, NaN, NaN
1723037308.0, 79, NaN, NaN
1723037333.0, 82, NaN, NaN
1723037364.0, 85, NaN, NaN
1723037371.0, 82, NaN, NaN
1723037378.0, 85, NaN, NaN
1723037382.0, 88, NaN, NaN
1723037387.0, 85, NaN, NaN
1723037395.0, 88, NaN, NaN
1723037431.0, 85, NaN, NaN
1723037444.0, 81, NaN, NaN
1723037458.0, 77, NaN, NaN
1723037483.0, 74, NaN, NaN
1723037504.0, 77, NaN, NaN
1723037511.0, 80, NaN, NaN
1723037539.0, 83, NaN, NaN
1723037560.0, 86, NaN, NaN
1723037572.0, 83, NaN, NaN
1723037580.0, 86, NaN, NaN
1723037593.0, 83, NaN, NaN
1723037611.0, 80, NaN, NaN
1723037682.0, 83, NaN, NaN
1723037697.0, 79, NaN, NaN
1723037698.0, 79, NaN, NaN
1723037760.0, 82, NaN, NaN
1723037762.0, 85, NaN, NaN
1723037795.0, 81, NaN, NaN
1723037798.0, 78, NaN, NaN
1723037808.0, 81, NaN, NaN
1723037810.0, 84, NaN, NaN
1723037816.0, 87, NaN, NaN
1723037829.0, 84, NaN, NaN
1723037835.0, 81, NaN, NaN
1723037866.0, 84, NaN, NaN
1723037878.0, 80, NaN, NaN
1723037884.0, 77, NaN, NaN
1723037893.0, 80, NaN, NaN
1723037900.0, 77, NaN, NaN
1723037920.0, 80, NaN, NaN
1723037922.0, 84, NaN, NaN
1723037940.0, 87, NaN, NaN
1723037950.0, 84, NaN, NaN
1723037955.0, 80, NaN, NaN
1723037958.0, 77, NaN, NaN
1723037963.0, 80, NaN, NaN
1723037986.0, 77, NaN, NaN
1723038015.0, 80, NaN, NaN
1723038021.0, 83, NaN, NaN
1723038036.0, 87, NaN, NaN
1723038040.0, 84, NaN, NaN
1723038041.0, 80, NaN, NaN
1723038042.0, 80, NaN, NaN
1723038075.0, 77, NaN, NaN
1723038078.0, 73, NaN, NaN
1723038094.0, 70, NaN, NaN
1723038099.0, 67, NaN, NaN
1723038113.0, 64, NaN, NaN
1723038122.0, 61, NaN, NaN
1723038124.0, 58, NaN, NaN
1723038132.0, 61, NaN, NaN
1723038137.0, 68, NaN, NaN
1723038138.0, 75, NaN, NaN
1723038139.0, 78, NaN, NaN
1723038141.0, 81, NaN, NaN
1723038169.0, 78, NaN, NaN
1723038188.0, 81, NaN, NaN
1723038198.0, 78, NaN, NaN
1723038202.0, 75, NaN, NaN
1723038218.0, 78, NaN, NaN
1723038220.0, 81, NaN, NaN
1723038279.0, 78, NaN, NaN
1723038304.0, 81, NaN, NaN
1723038316.0, 80, NaN, NaN
1723038336.0, 75, NaN, NaN
1723038339.0, 72, NaN, NaN
1723038343.0, 75, NaN, NaN
1723038358.0, 78, NaN, NaN
1723038361.0, 81, NaN, NaN
1723038363.0, 84, NaN, NaN
1723038399.0, 81, NaN, NaN
1723038405.0, 78, NaN, NaN
1723038421.0, 81, NaN, NaN
1723038438.0, 78, NaN, NaN
1723038456.0, 81, NaN, NaN
1723038484.0, 84, NaN, NaN
1723038526.0, 81, NaN, NaN
1723038546.0, 78, NaN, NaN
1723038581.0, 81, NaN, NaN
1723038595.0, 84, NaN, NaN
1723038604.0, 81, NaN, NaN
1723038642.0, 84, NaN, NaN
1723038647.0, 79, NaN, NaN
1723038651.0, 76, NaN, NaN
1723038657.0, 76, NaN, NaN
1723038664.0, 81, NaN, NaN
1723038665.0, 81, NaN, NaN
1723038692.0, 78, NaN, NaN
1723038694.0, 75, NaN, NaN
1723038695.0, 72, NaN, NaN
1723038703.0, 76, NaN, NaN
1723038707.0, 79, NaN, NaN
1723038730.0, 76, NaN, NaN
1723038732.0, 73, NaN, NaN
1723038754.0, 77, NaN, NaN
1723038757.0, 80, NaN, NaN
1723038764.0, 77, NaN, NaN
1723038779.0, 85, NaN, NaN
1723038780.0, 88, NaN, NaN
1723038783.0, 91, NaN, NaN
1723038789.0, 88, NaN, NaN
1723038793.0, 85, NaN, NaN
1723038802.0, 82, NaN, NaN
1723038805.0, 79, NaN, NaN
1723038861.0, 82, NaN, NaN
1723038879.0, 85, NaN, NaN
1723038894.0, 82, NaN, NaN
1723038909.0, 78, NaN, NaN
1723038913.0, 75, NaN, NaN
1723038943.0, 72, NaN, NaN
1723038947.0, 69, NaN, NaN
1723038951.0, 66, NaN, NaN
1723038954.0, 63, NaN, NaN
1723038968.0, 66, NaN, NaN
1723038977.0, 69, NaN, NaN
1723038980.0, 73, NaN, NaN
1723038983.0, 76, NaN, NaN
1723038989.0, 79, NaN, NaN
1723039011.0, 82, NaN, NaN
1723039017.0, 85, NaN, NaN
1723039025.0, 82, NaN, NaN
1723039032.0, 79, NaN, NaN
1723039035.0, 76, NaN, NaN
1723039053.0, 79, NaN, NaN
1723039056.0, 82, NaN, NaN
1723039110.0, 85, NaN, NaN
1723039121.0, 82, NaN, NaN
1723039125.0, 79, NaN, NaN
1723039130.0, 82, NaN, NaN
1723039135.0, 86, NaN, NaN
1723039142.0, 89, NaN, NaN
1723039144.0, 93, NaN, NaN
1723039161.0, 90, NaN, NaN
1723039165.0, 87, NaN, NaN
1723039167.0, 83, NaN, NaN
1723039169.0, 80, NaN, NaN
1723039187.0, 77, NaN, NaN
1723039203.0, 80, NaN, NaN
1723039207.0, 77, NaN, NaN
1723039209.0, 74, NaN, NaN
1723039218.0, 71, NaN, NaN
1723039219.0, 68, NaN, NaN
1723039228.0, 73, NaN, NaN
1723039236.0, 76, NaN, NaN
1723039246.0, 73, NaN, NaN
1723039253.0, 77, NaN, NaN
1723039254.0, 79, NaN, NaN
1723039259.0, 73, NaN, NaN
1723039270.0, 76, NaN, NaN
1723039293.0, 79, NaN, NaN
1723039297.0, 82, NaN, NaN
1723039302.0, 85, NaN, NaN
1723039314.0, 81, NaN, NaN
1723039343.0, 78, NaN, NaN
1723039373.0, 81, NaN, NaN
1723039446.0, 78, NaN, NaN
1723039449.0, 81, NaN, NaN
1723039456.0, 84, NaN, NaN
1723039474.0, 81, NaN, NaN
1723039519.0, 84, NaN, NaN
1723039523.0, 79, NaN, NaN
1723039563.0, 75, NaN, NaN
1723039586.0, 80, NaN, NaN
1723039587.0, 80, NaN, NaN
1723039591.0, 77, NaN, NaN
1723039633.0, 80, NaN, NaN
1723039644.0, 83, NaN, NaN
1723039657.0, 79, NaN, NaN
1723039665.0, 76, NaN, NaN
