Timestamp, HR(bpm), Stress(ms), Resp(brpm)
1724317607, NaN, 27.0, NaN
1724317609, NaN, 27.0, NaN
1724317610, NaN, 27.0, NaN
1724317657, 74, NaN, NaN
1724317658, 74, NaN, NaN
1724317659, 76, NaN, NaN
1724317660, 73, NaN, NaN
1724317661, 73, NaN, NaN
1724317662, 72, NaN, NaN
1724317663, 76, NaN, NaN
1724317664, 76, NaN, NaN
1724317665, 76, NaN, NaN
1724317666, 77, NaN, NaN
1724317667, 77, NaN, NaN
1724317668, 79, NaN, NaN
1724317669, 82, NaN, NaN
1724317670, 83, NaN, NaN
1724317671, 84, 30.0, NaN
1724317672, 84, 30.0, NaN
1724317673, 84, 30.0, NaN
1724317674, 83, 30.0, NaN
1724317675, 83, 30.0, 12.43
1724317676, 82, 47.0, 12.43
1724317677, 81, 47.0, 12.43
1724317678, 80, 47.0, 12.43
1724317679, 80, 47.0, 12.43
1724317680, 80, 47.0, 12.43
1724317681, 80, 45.0, 12.43
1724317682, 80, 45.0, 12.62
1724317683, 79, 45.0, 12.62
1724317684, 79, 45.0, 12.62
1724317685, 78, 45.0, 12.97
1724317686, 78, 44.0, 12.97
1724317687, 78, 44.0, 13.27
1724317688, 78, 44.0, 13.27
1724317689, 79, 44.0, 13.27
1724317690, 81, 44.0, 13.27
1724317691, 80, 42.0, 13.32
1724317692, 80, 42.0, 13.32
1724317693, 79, 42.0, 13.84
1724317694, 78, 42.0, 13.84
1724317695, 78, 42.0, 13.84
1724317696, 78, 40.0, 14.25
1724317697, 77, 40.0, 14.25
1724317698, 77, 40.0, 14.25
1724317699, 77, 40.0, 14.51
1724317700, 77, 40.0, 14.51
1724317701, 77, 40.0, 14.88
1724317702, 78, 40.0, 14.88
1724317703, 79, 40.0, 16.31
1724317704, 80, 40.0, 16.31
1724317705, 81, 40.0, 16.31
1724317706, 83, 36.0, 16.31
1724317707, 83, 36.0, 16.31
1724317708, 83, 36.0, 16.24
1724317709, 82, 36.0, 16.24
1724317710, 82, 36.0, 16.24
1724317711, 80, 37.0, 16.24
1724317712, 77, 37.0, 16.24
1724317713, 75, 37.0, 16.24
1724317714, 74, 37.0, 16.24
1724317715, 74, 37.0, 16.24
1724317716, 74, 39.0, 16.24
1724317717, 73, 39.0, 16.24
1724317718, 73, 39.0, 16.14
1724317719, 73, 39.0, 16.14
1724317720, 73, 39.0, 16.14
1724317721, 73, NaN, 16.14
1724317722, 73, NaN, 16.14
1724317723, 73, NaN, 16.14
1724317724, 73, NaN, 16.14
1724317725, 74, NaN, 16.14
1724317726, 74, NaN, 16.14
1724317727, 74, NaN, 16.14
1724317728, 74, NaN, 16.14
1724317729, 74, NaN, 16.14
1724317730, 74, NaN, 16.14
1724317731, 74, NaN, 16.03
1724317732, 74, NaN, 15.96
1724317733, 74, NaN, 15.96
1724317734, 75, NaN, 15.96
1724317735, 76, NaN, 15.96
1724317736, 76, NaN, 15.96
1724317737, 77, NaN, 15.96
1724317738, 77, NaN, 15.96
1724317739, 76, NaN, 15.96
1724317740, 76, NaN, 15.96
1724317741, 76, 40.0, 15.96
1724317742, 76, 40.0, 15.96
1724317743, 76, 40.0, 15.96
1724317744, 76, 40.0, 15.96
1724317745, 76, 40.0, 15.62
1724317746, 76, NaN, 15.62
1724317747, 76, NaN, 15.62
1724317748, 76, NaN, 15.62
1724317749, 76, NaN, 15.62
1724317750, 76, NaN, 15.62
1724317751, 77, NaN, 15.62
1724317752, 77, NaN, 15.62
1724317753, 77, NaN, 15.62
1724317754, 77, NaN, 15.62
1724317755, 77, NaN, 15.62
1724317756, 77, 30.0, 15.62
1724317757, 77, 30.0, 15.62
1724317758, 78, 30.0, 15.29
1724317759, 78, 30.0, 15.29
1724317760, 78, 30.0, 15.29
1724317761, 78, 30.0, 15.29
1724317762, 79, 30.0, 15.29
1724317763, 79, 30.0, 15.29
1724317764, 79, 30.0, 15.29
1724317765, 79, 30.0, 15.29
1724317766, 79, 30.0, 15.29
1724317767, 79, 30.0, 15.29
1724317768, 78, 30.0, 15.29
1724317769, 78, 30.0, 14.72
1724317770, 78, 30.0, 14.72
1724317771, 79, 32.0, 14.72
1724317772, 80, 32.0, 14.72
1724317773, 82, 32.0, 14.72
1724317774, 84, 32.0, 14.72
