Timestamp	HR	SDNN	RMSSD
1723036194.0	92	N/A	N/A
1723036195.0	92	N/A	N/A
1723036199.0	95	1.5000	3.0000
1723036212.0	92	5.0990	6.7082
1723036224.0	95	5.1235	5.5076
1723036232.0	98	4.5869	5.1720
1723036241.0	90	4.2197	4.6476
1723036242.0	87	4.5803	5.3541
1723036257.0	84	5.0606	7.2506
1723036263.0	81	4.8074	7.4917
1723036278.0	84	5.0636	7.6739
1723036280.0	89	5.1666	8.3606
1723036281.0	89	5.2935	7.9772
1723036316.0	92	8.9747	12.4365
1723036346.0	95	10.1479	12.0288
1723036350.0	92	9.9519	13.5145
1723036369.0	95	9.8582	13.6186
1723036370.0	98	9.8455	13.9329
1723036371.0	101	9.8050	13.5169
1723036379.0	96	9.5523	13.2393
1723036381.0	93	9.4619	12.9595
1723036383.0	90	9.3656	12.6313
1723036388.0	87	9.1881	12.3443
1723036396.0	84	8.9877	12.0774
1723036404.0	88	8.7999	11.8119
1723036407.0	91	8.6954	11.6082
1723036414.0	87	8.5315	11.4018
1723036415.0	84	8.4898	11.2421
1723036424.0	81	8.3382	11.1389
1723036461.0	84	9.7322	12.1508
1723036503.0	88	11.2343	11.9755
1723036506.0	91	11.1266	13.7598
1723036526.0	88	11.0870	13.8762
1723036532.0	87	10.9435	13.8801
1723036577.0	84	12.2770	15.2614
1723036579.0	81	12.1984	16.7464
1723036583.0	84	12.0826	16.5089
1723036595.0	89	11.9198	16.3325
1723036603.0	85	11.7707	16.1237
1723036605.0	82	11.7011	15.9399
1723036616.0	85	11.5541	15.8000
1723036656.0	88	12.2833	16.2612
1723036682.0	91	12.3422	16.2098
1723036684.0	94	12.2837	16.4382
1723036685.0	97	12.2418	16.2466
1723036688.0	100	12.1646	16.0638
1723036692.0	97	12.0746	15.8850
1723036694.0	93	12.0132	15.7142
1723036701.0	90	11.8987	15.5632
1723036759.0	86	13.5528	17.0691
1723036776.0	87	13.4384	17.8806
1723036798.0	84	13.3833	17.7150
1723036804.0	81	13.2783	17.6829
1723036834.0	84	13.3852	17.8255
1723036839.0	81	13.2950	17.9874
1723036857.0	84	13.1984	17.9077
1723036861.0	79	13.1234	17.8443
1723036863.0	76	13.0727	17.6863
1723036866.0	79	13.0093	17.5309
1723036869.0	82	12.9461	17.3791
1723036877.0	85	12.8454	17.2435
1723036906.0	88	12.9345	17.3128
1723036944.0	91	13.2515	17.2089
1723036949.0	87	13.1758	17.5766
1723036951.0	84	13.1310	17.4406
1723036957.0	81	13.0493	17.3110
1723036974.0	84	12.9661	17.2315
1723036982.0	81	12.8773	17.1363
1723037033.0	84	13.6270	17.8007
1723037093.0	80	14.6782	17.7030
1723037127.0	83	14.7839	17.8508
1723037131.0	86	14.7205	18.0820
1723037138.0	89	14.6359	17.9577
1723037161.0	86	14.5807	17.9320
1723037181.0	83	14.5028	17.8122
1723037201.0	86	14.4261	17.6914
1723037238.0	90	14.5804	17.6824
1723037240.0	93	14.5463	18.0186
1723037250.0	90	14.4583	17.9244
1723037252.0	86	14.4243	17.8322
1723037271.0	83	14.3474	17.8219
1723037273.0	79	14.3147	17.8119
1723037278.0	82	14.2564	17.7047
1723037280.0	90	14.2230	17.5995
1723037282.0	93	14.1891	17.4932
1723037295.0	90	14.1054	17.4301
1723037296.0	87	14.0816	17.3761
1723037297.0	87	14.0569	17.2748
1723037304.0	82	13.9898	17.1873
1723037308.0	79	13.9406	17.0923
1723037333.0	82	13.9245	17.1412
1723037364.0	85	13.9792	17.0574
1723037371.0	82	13.9163	17.1490
1723037378.0	85	13.8542	17.0555
1723037382.0	88	13.8094	16.9664
1723037387.0	85	13.7586	16.8763
1723037395.0	88	13.6946	16.7900
1723037431.0	85	13.8289	16.9451
1723037444.0	81	13.7582	17.0185
1723037458.0	77	13.6891	16.9317
1723037483.0	74	13.6747	16.8822
1723037504.0	77	13.6305	16.8024
1723037511.0	80	13.5763	16.7769
1723037539.0	83	13.5910	16.8235
1723037560.0	86	13.5477	16.7558
1723037572.0	83	13.4835	16.6984
1723037580.0	86	13.4288	16.6233
1723037593.0	83	13.3659	16.5518
1723037611.0	80	13.3123	16.4814
1723037682.0	83	14.3542	17.1793
1723037697.0	79	14.2894	17.9218
1723037698.0	79	14.2751	17.8901
1723037760.0	82	14.9242	18.7268
1723037762.0	85	14.9003	19.4860
1723037795.0	81	14.9416	19.6176
1723037798.0	78	14.9118	19.7324
1723037808.0	81	14.8519	19.6573
1723037810.0	84	14.8289	19.5865
1723037816.0	87	14.7833	19.5061
1723037829.0	84	14.7212	19.4339
1723037835.0	81	14.6766	19.3627
1723037866.0	84	14.6997	19.4165
1723037878.0	80	14.6403	19.4131
1723037884.0	77	14.5975	19.3410
1723037893.0	80	14.5447	19.2641
1723037900.0	77	14.4987	19.1871
1723037920.0	80	14.4520	19.1455
1723037922.0	84	14.4321	19.1367
1723037940.0	87	14.3808	19.1140
1723037950.0	84	14.3285	19.0524
1723037955.0	80	14.2931	18.9835
1723037958.0	77	14.2680	18.9111
1723037963.0	80	14.2328	18.8396
1723037986.0	77	14.2035	18.8334
1723038015.0	80	14.2133	18.7697
1723038021.0	83	14.1755	18.8048
1723038036.0	87	14.1239	18.7510
1723038040.0	84	14.0956	18.7057
1723038041.0	80	14.0843	18.6391
1723038042.0	80	14.0725	18.5714
1723038075.0	77	14.1200	18.7025
1723038078.0	73	14.0971	18.8073
1723038094.0	70	14.0491	18.7724
1723038099.0	67	14.0173	18.7290
1723038113.0	64	13.9686	18.6785
1723038122.0	61	13.9250	18.6182
1723038124.0	58	13.9085	18.5630
1723038132.0	61	13.8677	18.5060
1723038137.0	68	13.8370	18.4446
1723038138.0	75	13.8260	18.3851
1723038139.0	78	13.8147	18.3233
1723038141.0	81	13.7976	18.2623
1723038169.0	78	13.8062	18.3243
1723038188.0	81	13.7695	18.2785
1723038198.0	78	13.7269	18.2332
1723038202.0	75	13.7016	18.1804
