Timestamp,Type,Action,Key,Flight Time
2024-08-07 15:27:05.001372337,Key.enter,,release,0.0
2024-08-07 15:29:04.316596508,Key.shift,,press,119.315224171
2024-08-07 15:29:04.796440363,Key.shift,,release,0.479843855
2024-08-07 15:29:05.789310217,Key.shift,,press,0.992869854
2024-08-07 15:29:05.980876684,T,,press,0.191566467
2024-08-07 15:29:06.045001984,Key.shift,,release,0.0641253
2024-08-07 15:29:06.076992512,t,,release,0.031990528
2024-08-07 15:29:06.092993498,h,,press,0.016000986
2024-08-07 15:29:06.141994238,h,,release,0.04900074
2024-08-07 15:29:07.069282055,Key.backspace,,press,0.927287817
2024-08-07 15:29:07.116627216,Key.backspace,,release,0.047345161
2024-08-07 15:29:07.212990046,Key.backspace,,press,0.09636283
2024-08-07 15:29:07.292865276,Key.backspace,,release,0.07987523
2024-08-07 15:29:08.012471199,Key.shift,,press,0.719605923
2024-08-07 15:29:08.477910519,A,,press,0.46543932
2024-08-07 15:29:08.556958914,Key.shift,,release,0.079048395
2024-08-07 15:29:08.559902430,a,,release,0.002943516
2024-08-07 15:29:08.605542898,n,,press,0.045640468
2024-08-07 15:29:08.669549227,n,,release,0.064006329
2024-08-07 15:29:08.748995066,Key.space,,press,0.079445839
2024-08-07 15:29:08.844497442,Key.space,,release,0.095502376
2024-08-07 15:29:08.846457481,i,,press,0.001960039
2024-08-07 15:29:08.941963673,i,,release,0.095506192
2024-08-07 15:29:08.957485914,n,,press,0.015522241
2024-08-07 15:29:09.037257433,n,,release,0.079771519
2024-08-07 15:29:09.677702665,v,,press,0.640445232
2024-08-07 15:29:09.740910053,v,,release,0.063207388
2024-08-07 15:29:09.821055174,i,,press,0.080145121
2024-08-07 15:29:09.885046005,i,,release,0.063990831
2024-08-07 15:29:09.949111700,t,,press,0.064065695
2024-08-07 15:29:10.028876305,t,,release,0.079764605
2024-08-07 15:29:10.237373114,a,,press,0.208496809
2024-08-07 15:29:10.349218130,a,,release,0.111845016
2024-08-07 15:29:10.444974899,t,,press,0.095756769
2024-08-07 15:29:10.492970228,t,,release,0.047995329
2024-08-07 15:29:10.557521820,i,,press,0.064551592
2024-08-07 15:29:10.621068954,i,,release,0.063547134
2024-08-07 15:29:10.717667818,o,,press,0.096598864
2024-08-07 15:29:10.797671318,o,,release,0.0800035
2024-08-07 15:29:10.877289295,n,,press,0.079617977
