Unix Timestamp: 1724326256.0732868, Key.enter release
Unix Timestamp: 1724326405.8335168, t press
Unix Timestamp: 1724326405.8971324, t release
Unix Timestamp: 1724326406.0574574, h press
Unix Timestamp: 1724326406.1210885, h release
Unix Timestamp: 1724326406.201195, e press
Unix Timestamp: 1724326406.2815118, e release
Unix Timestamp: 1724326406.2975163, Key.space press
Unix Timestamp: 1724326406.3455865, Key.space release
Unix Timestamp: 1724326406.8736124, e press
Unix Timestamp: 1724326406.9372356, n press
Unix Timestamp: 1724326407.0012474, n release
Unix Timestamp: 1724326407.0012474, e release
Unix Timestamp: 1724326407.1612363, g press
Unix Timestamp: 1724326407.2092977, g release
Unix Timestamp: 1724326407.625365, l press
Unix Timestamp: 1724326407.704863, l release
Unix Timestamp: 1724326407.8333404, i press
Unix Timestamp: 1724326407.881312, i release
Unix Timestamp: 1724326408.0090966, s press
Unix Timestamp: 1724326408.1051815, h press
Unix Timestamp: 1724326408.1212087, s release
Unix Timestamp: 1724326408.1532044, h release
Unix Timestamp: 1724326408.29748, Key.space press
Unix Timestamp: 1724326408.3451135, Key.space release
Unix Timestamp: 1724326408.9852486, d press
Unix Timestamp: 1724326409.0487876, e press
Unix Timestamp: 1724326409.1292593, d release
Unix Timestamp: 1724326409.1932964, e release
Unix Timestamp: 1724326409.3373644, p press
Unix Timestamp: 1724326409.4174857, p release
Unix Timestamp: 1724326409.656996, a press
Unix Timestamp: 1724326409.7850506, a release
Unix Timestamp: 1724326409.7857344, r press
Unix Timestamp: 1724326409.8978171, t press
Unix Timestamp: 1724326409.9295378, r release
Unix Timestamp: 1724326410.009517, t release
Unix Timestamp: 1724326410.3926535, m press
Unix Timestamp: 1724326410.4411874, m release
Unix Timestamp: 1724326410.505232, e press
Unix Timestamp: 1724326410.6004753, n press
Unix Timestamp: 1724326410.632936, e release
Unix Timestamp: 1724326410.6495905, n release
Unix Timestamp: 1724326410.793052, t press
Unix Timestamp: 1724326410.8405387, t release
Unix Timestamp: 1724326411.0011811, Key.space press
Unix Timestamp: 1724326411.0497122, Key.space release
Unix Timestamp: 1724326411.4328983, o press
Unix Timestamp: 1724326411.464894, o release
Unix Timestamp: 1724326411.528755, f press
Unix Timestamp: 1724326411.6413248, f release
Unix Timestamp: 1724326411.641988, Key.space press
Unix Timestamp: 1724326411.6889856, Key.space release
Unix Timestamp: 1724326411.8333538, m press
Unix Timestamp: 1724326411.8811276, m release
Unix Timestamp: 1724326412.1688235, z press
Unix Timestamp: 1724326412.2175586, Key.space press
Unix Timestamp: 1724326412.2650065, Key.space release
Unix Timestamp: 1724326412.2815151, z release
Unix Timestamp: 1724326412.5372734, u press
Unix Timestamp: 1724326412.568916, u release
Unix Timestamp: 1724326412.7289903, n press
Unix Timestamp: 1724326412.7775242, n release
Unix Timestamp: 1724326413.017227, i press
Unix Timestamp: 1724326413.0647483, i release
Unix Timestamp: 1724326413.3693655, v press
Unix Timestamp: 1724326413.416523, v release
Unix Timestamp: 1724326413.5773873, e press
Unix Timestamp: 1724326413.6575863, r press
Unix Timestamp: 1724326413.6894922, e release
Unix Timestamp: 1724326413.8010173, r release
Unix Timestamp: 1724326414.249485, s press
Unix Timestamp: 1724326414.3130877, i press
Unix Timestamp: 1724326414.377412, s release
Unix Timestamp: 1724326414.379158, i release
Unix Timestamp: 1724326414.5853653, t press
Unix Timestamp: 1724326414.6328812, t release
Unix Timestamp: 1724326414.7124887, z press
Unix Timestamp: 1724326414.825727, z release
Unix Timestamp: 1724326414.8266902, Key.space press
Unix Timestamp: 1724326414.8570566, Key.space release
Unix Timestamp: 1724326416.856334, Key.backspace press
Unix Timestamp: 1724326416.9046528, Key.backspace release
Unix Timestamp: 1724326417.016892, Key.backspace press
Unix Timestamp: 1724326417.097391, Key.backspace release
Unix Timestamp: 1724326417.1932416, z press
Unix Timestamp: 1724326417.2897632, z release
Unix Timestamp: 1724326417.7847245, Key.backspace press
Unix Timestamp: 1724326417.8483243, Key.backspace release
Unix Timestamp: 1724326418.5693278, y press
Unix Timestamp: 1724326418.6486669, y release
Unix Timestamp: 1724326419.3373597, Key.space press
Unix Timestamp: 1724326419.3850417, Key.space release
Unix Timestamp: 1724326419.9445024, i press
Unix Timestamp: 1724326419.9934666, i release
Unix Timestamp: 1724326420.3132317, n press
Unix Timestamp: 1724326420.360806, n release
Unix Timestamp: 1724326420.9526818, y press
Unix Timestamp: 1724326421.0006785, y release
Unix Timestamp: 1724326421.3693178, i press
Unix Timestamp: 1724326421.416981, i release
Unix Timestamp: 1724326421.704742, t press
Unix Timestamp: 1724326421.7689874, t release
Unix Timestamp: 1724326421.8651044, e press
Unix Timestamp: 1724326421.9453235, e release
Unix Timestamp: 1724326422.0890422, s press
Unix Timestamp: 1724326422.1370473, Key.space press
Unix Timestamp: 1724326422.1853821, Key.space release
Unix Timestamp: 1724326422.232678, s release
Unix Timestamp: 1724326422.5206387, m press
Unix Timestamp: 1724326422.5695179, m release
Unix Timestamp: 1724326422.5695179, e press
Unix Timestamp: 1724326422.6810322, e release
Unix Timestamp: 1724326422.6970346, Key.space press
Unix Timestamp: 1724326422.7613177, Key.space release
Unix Timestamp: 1724326423.5290976, t press
Unix Timestamp: 1724326423.608574, o press
Unix Timestamp: 1724326423.640548, t release
Unix Timestamp: 1724326423.7050626, o release
Unix Timestamp: 1724326424.9053745, Key.space press
Unix Timestamp: 1724326424.9852014, Key.space release
Unix Timestamp: 1724326425.6893039, c press
Unix Timestamp: 1724326425.752394, o press
Unix Timestamp: 1724326425.8009713, o release
Unix Timestamp: 1724326425.8169453, c release
Unix Timestamp: 1724326426.0256014, m press
Unix Timestamp: 1724326426.0728428, m release
Unix Timestamp: 1724326426.1211233, e press
