type,x,y,timestamp,button,pressed,dx,dy
move,48,969,1722787037.658048,,,,
move,68,946,1722787037.6656342,,,,
move,82,922,1722787037.6736722,,,,
move,94,896,1722787037.6811821,,,,
move,102,869,1722787037.689763,,,,
move,106,845,1722787037.6975615,,,,
move,108,820,1722787037.7057853,,,,
move,108,796,1722787037.7133067,,,,
move,108,771,1722787037.7218678,,,,
move,107,746,1722787037.7298977,,,,
move,104,723,1722787037.7378802,,,,
move,100,699,1722787037.745211,,,,
move,94,677,1722787037.7540596,,,,
move,87,658,1722787037.76157,,,,
move,77,637,1722787037.7695708,,,,
move,63,618,1722787037.777884,,,,
move,49,600,1722787037.7853417,,,,
move,28,582,1722787037.793856,,,,
move,6,564,1722787037.8019009,,,,
move,2,626,1722787038.065234,,,,
move,24,626,1722787038.073824,,,,
move,23,625,1722787038.0813682,,,,
move,21,625,1722787038.0899043,,,,
move,14,627,1722787038.097923,,,,
move,15,627,1722787038.1060312,,,,
move,13,625,1722787038.113555,,,,
move,10,624,1722787038.122069,,,,
move,8,626,1722787038.129723,,,,
move,7,626,1722787038.1377187,,,,
move,7,626,1722787038.145729,,,,
move,6,628,1722787038.1537476,,,,
move,2,632,1722787038.1618593,,,,
move,6,630,1722787038.169955,,,,
move,6,629,1722787038.1774817,,,,
move,7,629,1722787038.1857626,,,,
move,2,632,1722787038.1941476,,,,
move,4,631,1722787038.2016888,,,,
move,5,629,1722787038.2097657,,,,
move,7,629,1722787038.2177591,,,,
move,8,627,1722787038.2251804,,,,
move,10,626,1722787038.2339392,,,,
move,11,626,1722787038.2417054,,,,
move,12,626,1722787038.249724,,,,
move,13,624,1722787038.257834,,,,
move,15,623,1722787038.265376,,,,
move,16,622,1722787038.2739127,,,,
move,17,621,1722787038.2814755,,,,
move,17,619,1722787038.2900198,,,,
move,17,619,1722787038.2979565,,,,
move,15,620,1722787038.30554,,,,
move,17,619,1722787038.3138125,,,,
move,14,620,1722787038.3213332,,,,
move,14,623,1722787038.3298378,,,,
move,14,622,1722787038.3378444,,,,
move,11,626,1722787038.3461502,,,,
move,12,627,1722787038.353984,,,,
move,11,630,1722787038.3615339,,,,
move,12,632,1722787038.3699193,,,,
move,14,633,1722787038.3779275,,,,
move,17,634,1722787038.3854353,,,,
move,21,639,1722787038.3939567,,,,
move,29,645,1722787038.401481,,,,
move,54,648,1722787038.4094799,,,,
move,77,649,1722787038.4177887,,,,
move,99,649,1722787038.42531,,,,
move,111,649,1722787038.4338276,,,,
move,124,649,1722787038.4414048,,,,
move,139,649,1722787038.449651,,,,
move,152,649,1722787038.4576464,,,,
move,164,649,1722787038.465983,,,,
move,175,651,1722787038.473508,,,,
move,186,656,1722787038.481557,,,,
move,198,662,1722787038.4900534,,,,
move,212,673,1722787038.4980597,,,,
move,227,686,1722787038.5058668,,,,
move,243,702,1722787038.5136745,,,,
move,261,720,1722787038.5212033,,,,
move,280,740,1722787038.5298207,,,,
move,299,761,1722787038.5377228,,,,
move,318,781,1722787038.5457072,,,,
move,339,805,1722787038.553621,,,,
move,359,827,1722787038.5618145,,,,
move,381,853,1722787038.5696263,,,,
move,404,881,1722787038.577634,,,,
move,429,909,1722787038.5853913,,,,
move,454,940,1722787038.5939405,,,,
move,481,971,1722787038.6014068,,,,
move,513,1003,1722787038.6095586,,,,
move,549,1033,1722787038.6177604,,,,
move,747,1045,1722787038.6655338,,,,
move,770,1034,1722787038.6737475,,,,
move,800,1003,1722787038.6818643,,,,
move,822,965,1722787038.6898603,,,,
