type,x,y,timestamp,button,pressed,dx,dy
move,133,994,1722869230.167915,,,,
move,203,996,1722869230.175858,,,,
move,274,998,1722869230.1840622,,,,
move,342,1000,1722869230.1922736,,,,
move,404,1000,1722869230.200203,,,,
move,466,1002,1722869230.2080665,,,,
move,529,1004,1722869230.2161896,,,,
move,589,1006,1722869230.2243757,,,,
move,643,1006,1722869230.2319326,,,,
move,676,1006,1722869230.2399693,,,,
move,714,1006,1722869230.2482445,,,,
move,752,1006,1722869230.2561817,,,,
move,787,1005,1722869230.2642095,,,,
move,818,1002,1722869230.2722833,,,,
move,847,997,1722869230.2797906,,,,
move,873,992,1722869230.2881713,,,,
move,900,986,1722869230.2962189,,,,
move,927,982,1722869230.3043368,,,,
move,956,975,1722869230.3114467,,,,
move,985,970,1722869230.3201833,,,,
move,1016,965,1722869230.3280592,,,,
move,1048,960,1722869230.3360662,,,,
move,1079,955,1722869230.343819,,,,
move,1108,950,1722869230.352257,,,,
move,1135,944,1722869230.3605354,,,,
move,1162,938,1722869230.3680713,,,,
move,1189,930,1722869230.3763597,,,,
move,1211,922,1722869230.3838735,,,,
move,1233,915,1722869230.3919187,,,,
move,1246,909,1722869230.400026,,,,
move,1258,904,1722869230.4081225,,,,
move,1271,897,1722869230.4163291,,,,
move,1285,887,1722869230.4238474,,,,
move,1294,878,1722869230.4319043,,,,
move,1299,869,1722869230.4403467,,,,
move,1302,861,1722869230.448034,,,,
move,1303,851,1722869230.4558735,,,,
move,1303,842,1722869230.4639754,,,,
move,1302,831,1722869230.4723516,,,,
move,1299,819,1722869230.480285,,,,
move,1293,805,1722869230.488101,,,,
move,1285,789,1722869230.4952102,,,,
move,1276,776,1722869230.504254,,,,
move,1268,762,1722869230.5117939,,,,
move,1258,748,1722869230.5199513,,,,
move,1248,736,1722869230.5284665,,,,
move,1237,724,1722869230.5354795,,,,
move,1227,715,1722869230.5439909,,,,
move,1220,710,1722869230.5523915,,,,
move,1212,705,1722869230.560378,,,,
move,1205,701,1722869230.5679631,,,,
move,1198,696,1722869230.5759842,,,,
move,1189,693,1722869230.5845516,,,,
move,1182,690,1722869230.5920238,,,,
move,1174,687,1722869230.6000814,,,,
move,1164,684,1722869230.6081433,,,,
move,1153,681,1722869230.616333,,,,
move,1138,677,1722869230.6233833,,,,
move,1122,673,1722869230.6318965,,,,
move,1106,670,1722869230.6404166,,,,
move,1088,667,1722869230.6479213,,,,
move,1069,663,1722869230.6559281,,,,
move,1059,660,1722869230.6640093,,,,
move,1045,656,1722869230.6722498,,,,
move,1027,651,1722869230.6807632,,,,
move,1010,645,1722869230.6877735,,,,
move,992,637,1722869230.6961339,,,,
move,975,628,1722869230.704199,,,,
move,960,622,1722869230.71165,,,,
move,945,615,1722869230.7205045,,,,
move,933,609,1722869230.72787,,,,
move,926,606,1722869230.7358203,,,,
move,921,604,1722869230.7441578,,,,
move,919,603,1722869230.7522478,,,,
move,918,603,1722869230.7597609,,,,
move,917,603,1722869230.7677584,,,,
move,916,602,1722869230.77597,,,,
move,915,601,1722869230.784704,,,,
move,913,599,1722869230.7919369,,,,
move,912,597,1722869230.8002682,,,,
move,909,595,1722869230.807788,,,,
move,906,591,1722869230.8157964,,,,
move,903,586,1722869230.8236742,,,,
move,899,582,1722869230.8321433,,,,
move,895,576,1722869230.8403468,,,,
move,894,573,1722869230.8483284,,,,
move,889,568,1722869230.8562858,,,,
move,887,566,1722869230.8637984,,,,
move,884,561,1722869230.8722007,,,,
move,878,555,1722869230.879472,,,,
move,870,547,1722869230.8883903,,,,
move,863,540,1722869230.8953292,,,,
move,860,538,1722869230.904315,,,,
move,858,536,1722869230.9117632,,,,
move,855,534,1722869230.9194672,,,,
move,852,532,1722869230.9279819,,,,
move,849,531,1722869230.9359877,,,,
move,847,531,1722869230.944241,,,,
move,847,531,1722869230.9517925,,,,
move,846,530,1722869230.968203,,,,
move,846,529,1722869231.1282532,,,,
move,846,529,1722869231.1362875,,,,
move,846,528,1722869231.1440783,,,,
move,846,526,1722869231.1523728,,,,
move,846,526,1722869231.1599202,,,,
move,846,524,1722869231.167973,,,,
move,846,523,1722869231.1761,,,,
move,846,522,1722869231.1843894,,,,
move,846,519,1722869231.1921294,,,,
move,846,518,1722869231.2005818,,,,
move,846,518,1722869231.208117,,,,
move,846,517,1722869231.2163928,,,,
move,846,517,1722869231.2319844,,,,
move,846,516,1722869231.2398574,,,,
move,846,516,1722869231.247825,,,,
move,846,515,1722869231.2644472,,,,
move,846,514,1722869231.271449,,,,
move,846,514,1722869231.304488,,,,
move,846,514,1722869231.6078966,,,,
move,846,514,1722869231.6163864,,,,
move,845,513,1722869231.623903,,,,
move,844,513,1722869231.631954,,,,
move,844,513,1722869231.6480205,,,,
move,844,513,1722869231.6559703,,,,
move,843,513,1722869231.6634495,,,,
move,843,513,1722869231.6796842,,,,
move,842,512,1722869231.6960905,,,,
move,842,512,1722869231.7123313,,,,
move,842,512,1722869231.720452,,,,
move,841,512,1722869231.7282605,,,,
move,840,512,1722869231.760139,,,,
move,840,511,1722869231.7681344,,,,
move,840,510,1722869231.783918,,,,
move,839,510,1722869231.7920887,,,,
move,839,510,1722869231.8962016,,,,
move,839,510,1722869231.9364924,,,,
move,839,511,1722869231.9528182,,,,
move,839,511,1722869231.9681513,,,,
move,839,512,1722869231.976089,,,,
move,839,512,1722869231.99242,,,,
move,839,513,1722869232.0164182,,,,
move,839,513,1722869232.023934,,,,
move,839,515,1722869232.0323954,,,,
move,839,516,1722869232.0402217,,,,
move,841,517,1722869232.0479207,,,,
move,841,520,1722869232.0563116,,,,
move,843,521,1722869232.0640886,,,,
move,844,522,1722869232.072361,,,,
move,845,523,1722869232.0805004,,,,
move,846,524,1722869232.0885255,,,,
move,847,524,1722869232.095719,,,,
move,847,524,1722869232.1043205,,,,
move,847,525,1722869232.112371,,,,
move,848,525,1722869232.1198964,,,,
move,848,525,1722869232.1446235,,,,
move,849,525,1722869232.1602278,,,,
move,849,525,1722869232.192035,,,,
move,849,524,1722869232.1999004,,,,
move,849,524,1722869232.208295,,,,
move,849,523,1722869232.2164772,,,,
move,850,522,1722869232.2239962,,,,
move,850,522,1722869232.2321858,,,,
move,850,521,1722869232.2395067,,,,
move,850,521,1722869232.2480617,,,,
move,850,520,1722869232.2645261,,,,
move,850,520,1722869232.2714314,,,,
move,850,520,1722869232.2797241,,,,
move,850,519,1722869232.288225,,,,
move,850,518,1722869232.2962303,,,,
move,849,518,1722869232.3037632,,,,
move,849,518,1722869232.312276,,,,
move,848,517,1722869232.3206422,,,,
move,848,517,1722869232.3281894,,,,
move,847,517,1722869232.336225,,,,
move,846,517,1722869232.3683963,,,,
move,846,516,1722869232.3755999,,,,
click,846,516,1722869232.510645,Button.right,True,,
click,846,516,1722869232.608326,Button.right,False,,
click,846,516,1722869232.6879706,Button.right,True,,
click,846,516,1722869232.7759895,Button.right,False,,
click,846,516,1722869232.8686805,Button.right,True,,
click,846,516,1722869232.968965,Button.right,False,,
click,846,516,1722869233.0523713,Button.right,True,,
click,846,516,1722869233.1491067,Button.right,False,,
move,846,516,1722869233.2994723,,,,
move,845,516,1722869233.308244,,,,
move,844,516,1722869233.3161218,,,,
move,843,516,1722869233.3243773,,,,
move,842,516,1722869233.3318872,,,,
move,841,516,1722869233.3399808,,,,
move,840,516,1722869233.3482883,,,,
move,839,516,1722869233.3561106,,,,
move,838,516,1722869233.3642037,,,,
move,838,515,1722869233.3682032,,,,
move,837,515,1722869233.3763142,,,,
move,837,515,1722869233.3919206,,,,
move,837,514,1722869233.3999987,,,,
move,836,514,1722869233.424808,,,,
move,836,514,1722869233.432288,,,,
move,835,514,1722869233.4402523,,,,
move,835,514,1722869233.6003137,,,,
move,836,514,1722869233.6078742,,,,
move,836,514,1722869233.6160884,,,,
move,836,515,1722869233.624526,,,,
move,837,515,1722869233.6401114,,,,
click,837,515,1722869233.6805184,Button.left,True,,
click,837,515,1722869233.7645693,Button.left,False,,
move,837,515,1722869233.872027,,,,
move,837,515,1722869233.8801625,,,,
move,838,516,1722869233.8878882,,,,
move,839,516,1722869233.896516,,,,
move,839,516,1722869233.904149,,,,
move,840,516,1722869233.9116104,,,,
move,840,517,1722869233.920128,,,,
