type,x,y,timestamp,button,pressed
move,49,990,1722869898.4448996,,
move,74,992,1722869898.45242,,
move,100,993,1722869898.4611204,,
move,122,995,1722869898.4685826,,
move,145,996,1722869898.476094,,
move,164,998,1722869898.4844296,,
move,182,999,1722869898.4923334,,
move,196,999,1722869898.5003567,,
move,209,999,1722869898.5088735,,
move,221,999,1722869898.5169206,,
move,233,999,1722869898.5249305,,
move,241,999,1722869898.5329657,,
move,249,999,1722869898.5410433,,
move,259,999,1722869898.5491543,,
move,269,999,1722869898.5566635,,
move,279,999,1722869898.5652337,,
move,289,999,1722869898.5726643,,
move,300,999,1722869898.5808835,,
move,311,999,1722869898.5884006,,
move,321,999,1722869898.5971463,,
move,333,999,1722869898.6047466,,
move,345,999,1722869898.6128516,,
move,358,999,1722869898.6204457,,
move,370,999,1722869898.6291459,,
move,382,999,1722869898.6362407,,
move,394,999,1722869898.6448424,,
move,406,999,1722869898.6529863,,
move,417,999,1722869898.6610446,,
move,427,999,1722869898.6692135,,
move,438,999,1722869898.6763153,,
move,450,999,1722869898.6848824,,
move,459,999,1722869898.6927931,,
move,468,999,1722869898.7003753,,
move,476,999,1722869898.7085187,,
move,483,999,1722869898.716583,,
move,490,999,1722869898.725179,,
move,498,999,1722869898.7324166,,
move,505,999,1722869898.740406,,
move,511,999,1722869898.7486262,,
move,517,999,1722869898.7562048,,
move,523,999,1722869898.7649996,,
move,530,1000,1722869898.772281,,
move,537,1000,1722869898.781187,,
move,544,1000,1722869898.7892902,,
move,550,1000,1722869898.7973034,,
move,556,1000,1722869898.804604,,
move,561,1000,1722869898.8133109,,
move,565,1000,1722869898.820446,,
move,570,1000,1722869898.8285854,,
move,574,1000,1722869898.8370998,,
move,578,998,1722869898.844497,,
move,584,996,1722869898.8535209,,
move,590,993,1722869898.8613884,,
move,597,990,1722869898.86863,,
move,604,987,1722869898.8772578,,
move,610,985,1722869898.8847835,,
move,616,982,1722869898.8931708,,
move,622,980,1722869898.900661,,
move,626,978,1722869898.909312,,
move,631,976,1722869898.9171612,,
move,633,974,1722869898.9245477,,
move,637,972,1722869898.932578,,
move,639,969,1722869898.940608,,
move,641,967,1722869898.9485025,,
move,644,965,1722869898.9561956,,
move,646,963,1722869898.9651453,,
move,647,963,1722869898.97247,,
move,649,961,1722869898.9812663,,
move,652,960,1722869898.9893088,,
move,653,959,1722869898.996604,,
move,654,957,1722869899.0050611,,
move,654,957,1722869899.0126097,,
move,656,956,1722869899.0205212,,
move,657,955,1722869899.0285575,,
move,659,953,1722869899.036309,,
move,659,952,1722869899.0444014,,
move,659,951,1722869899.0529416,,
move,660,951,1722869899.0609043,,
move,660,950,1722869899.0687912,,
move,660,948,1722869899.0770903,,
move,659,946,1722869899.0946064,,
move,656,944,1722869899.0946064,,
move,653,942,1722869899.1009734,,
move,644,938,1722869899.1083794,,
move,633,934,1722869899.1172626,,
move,620,932,1722869899.1250944,,
move,599,930,1722869899.1328132,,
move,571,926,1722869899.1503386,,
move,548,925,1722869899.1503386,,
move,536,925,1722869899.157109,,
move,534,925,1722869899.1648798,,
move,532,925,1722869899.1733549,,
move,530,923,1722869899.5008543,,
move,528,920,1722869899.5084033,,
move,526,917,1722869899.5164294,,
move,522,911,1722869899.5244777,,
move,520,908,1722869899.532505,,
move,517,901,1722869899.5406516,,
move,513,890,1722869899.5487156,,
move,507,875,1722869899.5572727,,
move,499,858,1722869899.574325,,
move,488,837,1722869899.5753284,,
move,477,814,1722869899.581109,,
move,466,788,1722869899.5886638,,
move,455,762,1722869899.597243,,
move,448,740,1722869899.6149,,
move,444,729,1722869899.6149,,
move,442,717,1722869899.6206195,,
move,440,704,1722869899.6281316,,
move,439,693,1722869899.6372008,,
move,439,685,1722869899.6446614,,
move,439,677,1722869899.652925,,
move,439,670,1722869899.6607497,,
move,439,665,1722869899.6688182,,
move,439,659,1722869899.6771817,,
move,439,655,1722869899.6844516,,
move,438,651,1722869899.6925447,,
move,435,647,1722869899.700095,,
move,432,645,1722869899.7091823,,
move,427,642,1722869899.7163374,,
move,423,640,1722869899.72548,,
move,418,636,1722869899.733189,,
move,410,630,1722869899.7412117,,
move,403,621,1722869899.7489095,,
move,394,609,1722869899.7571452,,
move,380,594,1722869899.7647552,,
move,371,584,1722869899.772653,,
move,363,577,1722869899.781183,,
move,358,571,1722869899.7882564,,
move,354,565,1722869899.796285,,
move,352,560,1722869899.8047853,,
move,349,555,1722869899.812886,,
move,347,551,1722869899.820367,,
move,347,549,1722869899.8289804,,
move,347,544,1722869899.8370893,,
move,346,538,1722869899.8446035,,
move,346,536,1722869899.852703,,
move,346,532,1722869899.8612313,,
move,346,525,1722869899.8686078,,
move,346,517,1722869899.8771753,,
move,346,508,1722869899.8849986,,
move,346,497,1722869899.8932333,,
move,343,478,1722869899.9011922,,
move,339,457,1722869899.9090667,,
move,335,436,1722869899.9173884,,
move,331,424,1722869899.9248984,,
move,324,408,1722869899.9332728,,
move,314,384,1722869899.9405131,,
move,303,364,1722869899.9487293,,
move,293,343,1722869899.9572508,,
move,285,325,1722869899.9644053,,
move,280,311,1722869899.9730043,,
move,277,299,1722869899.9805348,,
move,274,287,1722869899.9885554,,
move,272,275,1722869899.9971178,,
move,270,265,1722869900.0044944,,
move,268,258,1722869900.012561,,
move,267,252,1722869900.0203297,,
move,266,251,1722869900.0278835,,
move,266,251,1722869900.036976,,
move,266,250,1722869900.0444846,,
move,266,250,1722869900.10865,,
move,262,251,1722869900.1253004,,
move,260,252,1722869900.132366,,
move,258,253,1722869900.14073,,
move,252,255,1722869900.1488326,,
move,244,257,1722869900.15634,,
move,231,261,1722869900.1648679,,
move,218,263,1722869900.173126,,
move,209,264,1722869900.180846,,
move,197,264,1722869900.189337,,
move,184,263,1722869900.19636,,
move,170,259,1722869900.2048924,,
move,156,254,1722869900.2129624,,
move,141,246,1722869900.2207098,,
move,125,237,1722869900.2292647,,
move,113,227,1722869900.2363064,,
move,104,217,1722869900.2448232,,
move,96,207,1722869900.2528617,,
move,90,196,1722869900.2604241,,
move,83,185,1722869900.2692182,,
move,77,172,1722869900.2767556,,
move,72,160,1722869900.2943625,,
move,67,148,1722869900.2943625,,
move,62,135,1722869900.3008804,,
move,57,124,1722869900.3191047,,
move,51,110,1722869900.3191047,,
move,47,100,1722869900.3243492,,
move,43,94,1722869900.333211,,
move,41,92,1722869900.341127,,
move,41,90,1722869900.3491712,,
move,40,89,1722869900.3572047,,
move,39,88,1722869900.3647134,,
move,39,88,1722869900.3727674,,
move,38,87,1722869900.3810496,,
move,38,86,1722869900.3891876,,
move,38,85,1722869900.4122982,,
move,38,85,1722869900.4203322,,
move,38,83,1722869900.428497,,
move,38,83,1722869900.436559,,
move,38,81,1722869900.444566,,
move,38,80,1722869900.452595,,
move,38,79,1722869900.460632,,
move,38,79,1722869900.4691665,,
move,38,77,1722869900.4767215,,
move,38,77,1722869900.484748,,
