Average HRV (SDNN): 79.15 ms

Heart Rate (bpm), HRV (SDNN in ms)
67, 0.00
67, 0.00
68, 6.21
68, 6.58
72, 23.01
72, 26.76
74, 32.38
75, 36.56
75, 38.44
76, 40.49
76, 41.48
76, 41.87
76, 41.90
75, 41.12
75, 40.33
75, 39.56
75, 38.80
75, 38.08
75, 37.38
74, 36.49
74, 35.67
73, 34.85
71, 34.47
69, 35.12
67, 37.24
65, 41.03
64, 45.13
63, 49.50
62, 54.12
62, 57.78
61, 61.79
61, 65.05
61, 67.75
62, 69.23
62, 70.47
63, 70.94
64, 70.89
65, 70.48
67, 69.68
69, 68.80
69, 67.96
70, 67.18
70, 66.43
72, 65.90
72, 65.39
72, 64.89
73, 64.54
73, 64.19
73, 63.84
73, 63.49
73, 63.15
74, 62.96
74, 62.76
74, 62.55
74, 62.34
74, 62.12
76, 62.25
78, 62.78
80, 63.74
79, 64.36
79, 64.93
80, 65.65
80, 66.31
79, 66.70
79, 67.05
79, 67.37
79, 67.65
78, 67.73
78, 67.79
78, 67.84
78, 67.87
78, 67.88
78, 67.89
78, 67.88
78, 67.85
78, 67.82
78, 67.78
78, 67.73
77, 67.56
77, 67.39
75, 67.06
72, 66.65
69, 66.38
67, 66.36
66, 66.49
66, 66.60
67, 66.54
68, 66.36
68, 66.17
68, 65.98
69, 65.71
70, 65.39
70, 65.07
71, 64.73
71, 64.39
71, 64.06
71, 63.74
71, 63.42
72, 63.10
72, 62.78
72, 62.47
72, 62.17
68, 62.02
68, 61.88
69, 61.66
68, 61.51
69, 61.30
69, 61.08
68, 60.94
68, 60.80
67, 60.75
68, 60.60
68, 60.46
69, 60.25
70, 60.01
79, 60.23
79, 60.44
85, 61.43
85, 62.37
85, 63.26
86, 64.25
87, 65.33
87, 66.35
88, 67.46
88, 68.51
88, 69.51
89, 70.59
89, 71.62
89, 72.60
89, 73.53
89, 74.41
88, 75.15
86, 75.64
86, 76.11
82, 76.22
77, 76.02
77, 75.82
74, 75.55
70, 75.34
71, 75.10
71, 74.86
72, 74.61
75, 74.37
75, 74.13
76, 73.91
76, 73.70
76, 73.49
76, 73.29
77, 73.11
77, 72.94
76, 72.74
76, 72.53
76, 72.33
75, 72.11
75, 71.90
74, 71.67
75, 71.45
75, 71.24
74, 71.02
74, 70.80
74, 70.58
73, 70.36
73, 70.15
72, 69.94
72, 69.74
72, 69.54
72, 69.34
72, 69.15
72, 68.95
72, 68.76
72, 68.57
72, 68.38
72, 68.19
72, 68.00
73, 67.81
73, 67.61
72, 67.43
73, 67.24
73, 67.06
73, 66.87
70, 66.75
68, 66.73
67, 66.78
66, 66.92
66, 67.06
66, 67.19
65, 67.42
64, 67.77
64, 68.10
64, 68.43
64, 68.74
64, 69.05
65, 69.23
67, 69.23
67, 69.24
67, 69.24
67, 69.24
67, 69.23
70, 69.09
70, 68.95
71, 68.79
72, 68.62
72, 68.45
72, 68.29
75, 68.15
77, 68.06
77, 67.98
77, 67.90
77, 67.81
76, 67.70
75, 67.56
73, 67.40
73, 67.25
74, 67.10
76, 66.99
76, 66.88
76, 66.77
77, 66.69
78, 66.64
79, 66.64
81, 66.73
81, 66.81
80, 66.84
80, 66.87
78, 66.82
74, 66.68
72, 66.54
72, 66.39
72, 66.25
72, 66.11
72, 65.97
72, 65.83
72, 65.69
71, 65.57
71, 65.44
71, 65.32
71, 65.20
72, 65.06
72, 64.93
72, 64.80
72, 64.67
72, 64.53
72, 64.40
72, 64.27
69, 64.21
69, 64.14
67, 64.17
67, 64.20
66, 64.29
66, 64.38
66, 64.47
66, 64.55
70, 64.45
77, 64.39
77, 64.34
77, 64.28
77, 64.22
78, 64.19
77, 64.13
81, 64.22
81, 64.30
83, 64.49
85, 64.78
86, 65.12
86, 65.45
86, 65.77
86, 66.09
86, 66.40
86, 66.70
86, 67.00
86, 67.29
86, 67.57
86, 67.85
86, 68.12
85, 68.33
85, 68.54
85, 68.75
86, 69.00
86, 69.24
87, 69.53
87, 69.82
87, 70.09
88, 70.42
89, 70.78
89, 71.14
89, 71.50
89, 71.84
89, 72.18
89, 72.51
89, 72.83
90, 73.20
90, 73.56
88, 73.81
89, 74.11
89, 74.40
89, 74.69
89, 74.97
89, 75.24
89, 75.51
89, 75.77
89, 76.03
93, 76.47
93, 76.90
98, 77.56
98, 78.21
98, 78.85
98, 79.47
96, 79.98
96, 80.48
94, 80.89
94, 81.28
93, 81.62
93, 81.96
92, 82.25
92, 82.53
92, 82.81
92, 83.09
92, 83.36
92, 83.62
92, 83.88
91, 84.09
92, 84.34
92, 84.59
92, 84.83
92, 85.07
92, 85.30
92, 85.52
93, 85.78
93, 86.04
93, 86.29
93, 86.53
94, 86.81
94, 87.08
94, 87.35
94, 87.61
